nose_x,nose_y,nose_z,left_eye_x,left_eye_y,left_eye_z,right_eye_x,right_eye_y,right_eye_z,left_ear_x,left_ear_y,left_ear_z,right_ear_x,right_ear_y,right_ear_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,label
-0.003856,-0.001458,0.346087,-0.011888,-0.008864,0.335791,-0.004968,0.003985,0.352634,-0.013702,-0.016009,0.261722,-0.008078,0.00589,0.338853,0.008501,-0.049921,0.131006,0.02142,-0.023042,0.264816,0
-0.004969,0.000854,0.335487,-0.010654,-0.003872,0.325317,-0.00368,0.00335,0.34124,-0.011662,-0.008767,0.258278,-0.006939,0.004952,0.329586,0.007394,-0.048047,0.135531,0.019423,-0.02308,0.250727,0
-0.010419,0.001301,0.308789,-0.011489,-0.003202,0.29697,-0.005049,-0.001354,0.314943,-0.010322,-0.007586,0.233021,-0.005528,-0.000367,0.314936,0.007351,-0.047653,0.115183,0.018026,-0.023917,0.23992,0
-0.006212,0.003912,0.334653,-0.01012,-0.002105,0.325455,-0.003451,0.002707,0.341335,-0.009942,-0.007582,0.258413,-0.005192,0.001346,0.332618,0.00751,-0.047653,0.133914,0.019708,-0.027074,0.256878,0
0.002311,0.009873,0.329328,-0.007468,0.000457,0.320868,-7.5e-05,0.01205,0.333966,-0.010027,-0.008766,0.260261,-0.004364,0.008425,0.32005,0.007315,-0.04819,0.147707,0.021413,-0.026141,0.246857,0
0.004334,0.009568,0.301578,-0.005654,0.000576,0.294294,0.001218,0.011496,0.305033,-0.007738,-0.007543,0.244409,-0.004318,0.008788,0.291887,0.006959,-0.046986,0.142172,0.020605,-0.024409,0.222356,0
-0.005522,0.007153,0.292908,-0.007992,-0.00044,0.284873,-0.002939,0.004924,0.298142,-0.007474,-0.006758,0.230153,-0.00468,0.004985,0.288631,0.006313,-0.044765,0.127279,0.016708,-0.022816,0.218266,0
-0.006006,-0.000389,0.317341,-0.007544,-0.003933,0.312768,-0.003559,-0.003106,0.324222,-0.005871,-0.007514,0.255274,-0.004109,-0.00064,0.306161,0.005936,-0.04433,0.132607,0.01684,-0.022116,0.220463,0
-0.017363,-0.004013,0.348843,-0.015436,-0.006381,0.343622,-0.011221,-0.00701,0.355875,-0.009627,-0.008418,0.287268,-0.005246,-0.003343,0.342877,0.003931,-0.046523,0.179313,0.011453,-0.022425,0.246,0
-0.02199,-0.00447,0.374972,-0.021702,-0.007303,0.368106,-0.015925,-0.006564,0.381675,-0.014935,-0.009667,0.303324,-0.007925,-0.002377,0.364293,0.00224,-0.042234,0.186487,0.009809,-0.023311,0.274362,0
-0.021328,0.012479,0.333067,-0.021038,0.006896,0.328153,-0.016235,0.01445,0.33417,-0.017591,-0.003032,0.301787,-0.010665,0.010633,0.325163,-0.003287,-0.025469,0.21328,0.008508,-0.020063,0.272085,0
-0.018803,0.016151,0.296519,-0.017549,0.009827,0.2908,-0.014141,0.016792,0.297647,-0.017286,-0.000366,0.258423,-0.011274,0.01306,0.286813,-0.004865,-0.019736,0.19927,0.006607,-0.017152,0.252074,0
-0.018306,0.017058,0.259657,-0.016764,0.01054,0.254069,-0.013641,0.017185,0.260325,-0.017167,0.000217,0.232649,-0.011358,0.01322,0.25887,-0.00502,-0.01992,0.170919,0.005999,-0.0169,0.242698,0
-0.016692,0.021038,0.144719,-0.014973,0.013474,0.135752,-0.012971,0.020466,0.14053,-0.016084,0.0023,0.124453,-0.01169,0.015932,0.144342,-0.004922,-0.020399,0.090929,0.004999,-0.014631,0.158953,0
-0.01561,0.021803,0.169494,-0.013895,0.014188,0.162379,-0.012826,0.02131,0.166159,-0.015111,0.003115,0.151935,-0.012097,0.017187,0.169476,-0.005275,-0.021727,0.109064,0.004171,-0.012597,0.171037,0
-0.014649,0.022363,0.301895,-0.013376,0.014955,0.29486,-0.012492,0.022149,0.301616,-0.014672,0.0037,0.25943,-0.012246,0.017689,0.289633,-0.005221,-0.02211,0.181651,0.004558,-0.01116,0.253811,0
-0.013805,0.01406,0.341452,-0.014582,0.006088,0.33575,-0.012824,0.014911,0.344994,-0.013422,-0.004874,0.288976,-0.011599,0.013819,0.331745,0.003053,-0.041965,0.206601,0.010327,-0.022807,0.252648,0
-0.005168,0.013977,0.323527,-0.009296,0.006987,0.317456,-0.004905,0.013511,0.325694,-0.010902,-0.004497,0.275044,-0.008815,0.009056,0.309151,0.003069,-0.044356,0.170804,0.010187,-0.02316,0.236985,0
-0.002046,0.007926,0.31029,-0.006908,0.003226,0.304698,-0.002638,0.008144,0.315352,-0.007618,-0.005782,0.249132,-0.006395,0.005728,0.299182,0.005717,-0.045429,0.13768,0.01074,-0.021063,0.222981,0
-0.000451,0.004399,0.260045,-0.005209,0.001114,0.252864,-0.001154,0.004921,0.261777,-0.004374,-0.005804,0.203567,-0.004845,0.00406,0.244433,0.006162,-0.045138,0.115838,0.01023,-0.017102,0.184354,0
-0.000308,0.002635,0.271471,-0.004844,-0.000934,0.265616,-0.001183,0.00338,0.273684,-0.00248,-0.005983,0.218866,-0.004998,0.00413,0.256515,0.006353,-0.044746,0.138367,0.008118,-0.018538,0.179936,0
-0.000217,0.004107,0.292252,-0.004876,-0.000637,0.287231,-0.001014,0.00515,0.294876,-0.003392,-0.00599,0.244288,-0.004923,0.00575,0.278504,0.006293,-0.044191,0.161084,0.007782,-0.019885,0.189755,0
0.002618,0.004599,0.307114,-0.004633,-0.000444,0.303417,0.000712,0.006116,0.309988,-0.004812,-0.006583,0.261177,-0.004712,0.006387,0.290409,0.007275,-0.044079,0.166778,0.008909,-0.020411,0.201209,0
0.002657,0.003947,0.303292,-0.004976,-0.001382,0.298601,0.000441,0.005793,0.306021,-0.005575,-0.007399,0.253063,-0.005064,0.006807,0.28587,0.006609,-0.044217,0.165899,0.008013,-0.021772,0.193752,0
0.001218,0.001749,0.302577,-0.005957,-0.002749,0.298916,-0.001139,0.004892,0.305665,-0.005646,-0.007824,0.255889,-0.006251,0.007162,0.287247,0.006336,-0.042823,0.166784,0.007385,-0.022185,0.189072,0
-0.000126,-0.002374,0.312328,-0.006908,-0.004792,0.309663,-0.002173,0.001239,0.315794,-0.006159,-0.008439,0.26663,-0.006939,0.005605,0.295127,0.004649,-0.041732,0.170012,0.006755,-0.022441,0.188478,0
-0.000896,0.004837,0.295808,-0.007562,0.000785,0.28909,-0.002533,0.008264,0.298419,-0.0068,-0.00541,0.239841,-0.007013,0.008751,0.284693,0.004697,-0.041442,0.155969,0.006894,-0.022528,0.189912,0
0.005191,0.009434,0.279456,-0.006314,0.003797,0.274576,0.000941,0.013073,0.280669,-0.008658,-0.004241,0.232744,-0.006539,0.011065,0.265014,0.005024,-0.041655,0.147045,0.006802,-0.020636,0.17839,0
0.01105,0.006449,0.302215,-0.005116,0.000901,0.297054,0.00403,0.012173,0.303706,-0.010084,-0.006842,0.24836,-0.006219,0.011007,0.280959,0.005511,-0.041574,0.146728,0.008442,-0.019913,0.190783,0
0.015253,-0.000678,0.325504,-0.003823,-0.005314,0.321489,0.006123,0.006243,0.32783,-0.010655,-0.011398,0.270205,-0.005969,0.008917,0.29729,0.004982,-0.041717,0.159249,0.008472,-0.01951,0.19403,0
0.00312,0.000366,0.308777,-0.006424,-0.005036,0.300162,-0.0004,0.006516,0.310505,-0.009763,-0.010974,0.243011,-0.00734,0.008913,0.289226,0.004629,-0.041745,0.153146,0.007677,-0.021519,0.193291,0
-0.001873,-0.002554,0.325209,-0.008604,-0.007041,0.318704,-0.004056,0.002883,0.328387,-0.009941,-0.012056,0.262148,-0.008202,0.007077,0.306404,0.00396,-0.042328,0.161906,0.007453,-0.022783,0.201246,0
-0.010763,-0.00555,0.322696,-0.015969,-0.010797,0.315365,-0.010182,-0.003373,0.329005,-0.012657,-0.015067,0.254028,-0.009624,0.001633,0.311681,0.002092,-0.045955,0.138914,0.006995,-0.026158,0.222158,0
-0.032647,0.007088,0.317261,-0.028689,0.003697,0.304173,-0.025391,0.008918,0.319559,-0.021472,-0.005441,0.241718,-0.015384,0.008163,0.312186,-0.005533,-0.034015,0.144513,0.006193,-0.025008,0.264195,0
-0.032628,0.017936,-0.008075,-0.028593,0.015306,-0.012319,-0.027397,0.020259,-0.005563,-0.02305,0.005028,-0.006868,-0.021571,0.019749,0.023089,-0.008642,-0.018844,-0.017082,0.001509,-0.005639,0.052285,0
-0.031174,0.019164,-0.068521,-0.026719,0.015777,-0.073784,-0.026655,0.019883,-0.066227,-0.02276,0.005733,-0.061204,-0.021993,0.019347,-0.026875,-0.008557,-0.017921,-0.065306,-0.004193,-0.005268,0.016494,0
-0.023335,0.02576,-0.126007,-0.020614,0.018765,-0.132258,-0.021921,0.023532,-0.127827,-0.020083,0.006374,-0.107413,-0.020868,0.019545,-0.087783,-0.009069,-0.018538,-0.085356,-0.005805,-0.006192,-0.020523,0
-0.017356,0.02839,-0.094493,-0.015325,0.021268,-0.09973,-0.015459,0.025176,-0.096619,-0.015207,0.006695,-0.078164,-0.016332,0.019311,-0.076532,-0.008525,-0.017961,-0.038931,-0.006297,-0.009426,-0.036396,0
-0.004322,0.03864,-0.164418,-0.006124,0.031494,-0.169408,-0.004272,0.0339,-0.174306,-0.005684,0.014075,-0.147988,-0.010163,0.020343,-0.171132,-0.007282,-0.014348,-0.088264,-0.006395,-0.008952,-0.11141,0
0.003458,0.040692,-0.096443,-0.001246,0.033905,-0.099998,0.000896,0.036416,-0.107508,-0.00192,0.017199,-0.089949,-0.00657,0.021756,-0.141067,-0.00753,-0.015896,-0.075242,-0.00122,-0.009143,-0.078129,0
0.007971,0.043567,-0.121577,0.00212,0.037116,-0.120327,0.005223,0.03929,-0.127854,0.001744,0.020771,-0.092778,-0.003537,0.023198,-0.129483,-0.004718,-0.012621,-0.072559,-4.9e-05,-0.009033,-0.089928,0
0.008281,0.044004,-0.139064,0.00247,0.037367,-0.134635,0.006206,0.039472,-0.142839,0.001879,0.020916,-0.095648,-0.003125,0.023319,-0.135873,-0.002651,-0.009707,-0.070159,-0.002083,-0.007162,-0.10416,0
0.008067,0.044316,-0.071353,0.002331,0.037508,-0.068865,0.006071,0.039419,-0.076806,0.001224,0.020768,-0.040046,-0.003676,0.023487,-0.075567,-0.000612,-0.006325,-0.026262,-0.005176,0.00179,-0.06773,0
0.007771,0.046868,-0.133213,0.001913,0.039342,-0.133336,0.005566,0.040831,-0.138767,0.000396,0.022434,-0.100672,-0.004115,0.025358,-0.124197,-0.004086,-0.009958,-0.078336,-0.002911,-0.002591,-0.085134,0
0.004928,0.047434,-0.160123,0.000402,0.039866,-0.159045,0.002802,0.041568,-0.155371,-0.000489,0.023852,-0.115743,-0.00498,0.027279,-0.097073,-0.003734,-0.004562,-0.117395,-0.001756,-0.003863,-0.047448,0
0.00205,0.046864,-0.080408,-0.001138,0.039451,-0.088435,0.001338,0.041296,-0.084513,-0.001226,0.023979,-0.091013,-0.005043,0.028306,-0.063375,-0.003518,0.00011,-0.104934,-0.003388,-0.003434,-0.002155,0
0.004092,0.043198,-0.126188,-0.000869,0.037918,-0.124177,0.00153,0.037538,-0.122402,-0.00108,0.024269,-0.086202,-0.005037,0.028349,-0.074049,-0.005415,-0.000287,-0.105345,-0.002484,-0.00332,-0.005245,0
0.00664,0.0267,-0.125477,-0.000641,0.024257,-0.120868,0.002994,0.022087,-0.113515,-0.000929,0.017217,-0.089131,-0.004017,0.021305,-0.057844,-0.001156,-0.003986,-0.125881,0.000661,-0.000384,0.020426,0
0.003245,0.02284,-0.13946,-0.002025,0.019149,-0.134082,0.00143,0.0196,-0.132902,-0.001356,0.013333,-0.105579,-0.004048,0.020151,-0.097593,0.004771,-0.002417,-0.102595,0.00187,0.003667,-0.075319,0
-0.008341,0.013362,-0.12536,-0.00551,0.011189,-0.118099,-0.004682,0.012435,-0.112679,-0.003304,0.007681,-0.09247,-0.004077,0.011793,-0.06381,0.006199,-0.007548,-0.105842,0.003776,0.001292,-0.053163,0
-0.010358,0.012074,-0.163602,-0.006338,0.010208,-0.161162,-0.006748,0.011342,-0.15263,-0.003816,0.007421,-0.130502,-0.004087,0.01087,-0.088441,0.005381,-0.009983,-0.144306,0.005843,-0.000642,-0.052827,0
-0.010248,0.009473,-0.079802,-0.006363,0.008794,-0.080573,-0.006823,0.010103,-0.070839,-0.003977,0.007364,-0.066098,-0.004022,0.010472,-0.016755,0.004748,-0.009615,-0.094479,0.006542,-0.002482,0.012852,0
-0.00947,0.005048,0.00996,-0.006469,0.005743,0.003929,-0.006696,0.007808,0.013866,-0.004301,0.006063,-0.023152,-0.003876,0.009525,0.024408,0.004669,-0.004429,-0.039145,0.005425,-0.002083,0.037082,0
-0.005751,-0.002423,-0.052514,-0.005912,-0.001204,-0.053456,-0.006133,0.003086,-0.049583,-0.004608,-0.002705,-0.058531,-0.004273,0.00411,-0.03514,0.005601,-0.006809,-0.066851,0.000689,8.9e-05,-0.025276,0
