nose_x,nose_y,nose_z,left_eye_x,left_eye_y,left_eye_z,right_eye_x,right_eye_y,right_eye_z,left_ear_x,left_ear_y,left_ear_z,right_ear_x,right_ear_y,right_ear_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,label
0.433723,0.540314,-0.801778,0.467872,0.491253,-0.75615,0.398467,0.494087,-0.761756,0.497507,0.509308,-0.423149,0.371053,0.509422,-0.441984,0.6007,0.747147,-0.178105,0.274591,0.770988,-0.27474,0
0.435805,0.540212,-0.846487,0.46976,0.490872,-0.802864,0.400685,0.49415,-0.808375,0.503083,0.509318,-0.469958,0.373821,0.510053,-0.486662,0.607018,0.746756,-0.202042,0.279723,0.771471,-0.312931,0
0.437534,0.539346,-0.809167,0.471717,0.489945,-0.765308,0.403213,0.493756,-0.766177,0.507185,0.508878,-0.441629,0.377386,0.510077,-0.436787,0.611856,0.746743,-0.182083,0.285351,0.771291,-0.261508,0
0.439908,0.536993,-0.82473,0.474061,0.487355,-0.779356,0.406321,0.492244,-0.783122,0.509519,0.507949,-0.449281,0.380995,0.509856,-0.458533,0.614428,0.746763,-0.191694,0.286883,0.771188,-0.285118,0
0.441645,0.536872,-0.818807,0.475442,0.487452,-0.773098,0.407324,0.491759,-0.77859,0.509912,0.507993,-0.445454,0.381479,0.509632,-0.458949,0.612077,0.747436,-0.187378,0.285619,0.771596,-0.28941,0
0.4417,0.534685,-0.762688,0.475401,0.48621,-0.722536,0.407255,0.488356,-0.724559,0.507675,0.507578,-0.42089,0.381049,0.508478,-0.421884,0.607736,0.747163,-0.179741,0.280505,0.770102,-0.259654,0
0.439828,0.535321,-0.793589,0.474044,0.487984,-0.744552,0.405113,0.488435,-0.751779,0.502288,0.508396,-0.402081,0.378012,0.50835,-0.431397,0.596738,0.74927,-0.166786,0.269008,0.770128,-0.265027,0
0.434815,0.53664,-0.83023,0.471061,0.490841,-0.780264,0.399984,0.489181,-0.788442,0.49754,0.509771,-0.422309,0.373241,0.508358,-0.456121,0.587312,0.750642,-0.174698,0.261707,0.76816,-0.278746,0
0.433353,0.537238,-0.845918,0.469853,0.491626,-0.79513,0.398104,0.489285,-0.803999,0.495981,0.510309,-0.43847,0.37116,0.508269,-0.471939,0.585769,0.750838,-0.197734,0.259089,0.769176,-0.291311,0
0.433591,0.538139,-0.822689,0.469752,0.492095,-0.775654,0.398289,0.489936,-0.784362,0.496034,0.510674,-0.433613,0.371054,0.508732,-0.466435,0.586676,0.751086,-0.181998,0.259341,0.773229,-0.301034,0
0.433649,0.537994,-0.810607,0.469809,0.491624,-0.765623,0.39905,0.489495,-0.771577,0.499353,0.5105,-0.436736,0.372357,0.508465,-0.450505,0.597055,0.749724,-0.191013,0.273361,0.769751,-0.28543,0
0.434596,0.536773,-0.796538,0.470683,0.490267,-0.754867,0.401817,0.488226,-0.755171,0.504321,0.510068,-0.441867,0.377402,0.507739,-0.434849,0.606491,0.748883,-0.202215,0.282932,0.76839,-0.280871,0
0.440396,0.533709,-0.764318,0.475139,0.485923,-0.72282,0.408297,0.486496,-0.722917,0.511182,0.508727,-0.425251,0.383817,0.50721,-0.412541,0.613492,0.747129,-0.190718,0.295246,0.768937,-0.273133,0
0.442564,0.528043,-0.756226,0.477434,0.480776,-0.713316,0.409948,0.478673,-0.716214,0.513402,0.507281,-0.405408,0.385605,0.502842,-0.406864,0.615994,0.745355,-0.18068,0.296721,0.766044,-0.272061,0
0.44496,0.519397,-0.788296,0.478891,0.474506,-0.731429,0.410618,0.471328,-0.746106,0.513412,0.505278,-0.402846,0.385512,0.497881,-0.44645,0.614828,0.746068,-0.160816,0.293269,0.769694,-0.326297,0
